site,Tmin,VPD,SWC,DDS
Bel4.9,-0.170142857,335.1757043,19.33191631,1007.022694
Bel4.10,-0.581,217.5128251,20.29550862,704.9116746
Cer1.10,2.691857143,675.4422011,4.565531417,1350.411563
Cer2.10,-0.770142857,378.4624762,14.4416628,648.6848542
Bel5.9,-0.401,484.8743906,20.2178262,941.4343003
Bel5.10,-1.257142857,356.6193029,27.49433531,656.7811746
Bel2.9,4.403714286,544.8985824,9.746950334,1640.822355
Bel2.10,3.452285714,344.7410109,10.9510065,1376.333424
Bel3.9,2.134142857,459.7079087,14.76412297,1345.397142
Bel3.10,0.969142857,315.9528311,17.2893298,1061.336667
Ver3.9,-0.117857143,594.8124076,16.93032838,1012.760009
Ver3.10,-1.739857143,350.6463611,19.81771285,695.9091362
Ver2.9,0.08,630.1539481,11.96187954,1285.326361
Ver2.10,-0.354285714,388.5317548,13.880008,1070.348811
Ver1.9,-0.253571429,396.9073778,15.16146863,867.865448
Ver1.10,-0.514285714,292.5739948,17.25490971,792.8264167
Bel1.9,8.642428571,878.9628251,4.4377869,2652.499991
Bel1.10,6.987714286,577.2921072,12.92110865,2160.024875
