"plot.year.id","site","block","sampling.point","date","year","ground_vegetation_treatment","light.H20","light.H0","cover","dds","transmitted_light"
"BB 1 V 2009","BB",1,"A","13/08/2009","2009","V",15.56,11.39,NA,1007.02269435116,13.0275
"BB 1 V 2009","BB",1,"B","13/08/2009","2009","V",16.54,8.46,NA,1007.02269435116,13.0275
"BB 1 V 2009","BB",1,"C","13/08/2009","2009","V",16.03,12.77,NA,1007.02269435116,13.0275
"BB 1 V 2009","BB",1,"D","13/08/2009","2009","V",15.21,10.04,NA,1007.02269435116,13.0275
"BB 1 V 2010","BB",1,"A","22/07/2010","2010","V",230,93,70,704.911674632341,13.0275
"BB 1 V 2010","BB",1,"B","22/07/2010","2010","V",228,93,70,704.911674632341,13.0275
"BB 1 V 2010","BB",1,"C","22/07/2010","2010","V",60,29.8,70,704.911674632341,13.0275
"BB 1 V 2010","BB",1,"D","22/07/2010","2010","V",36,26,70,704.911674632341,13.0275
"BB 2 V 2009","BB",2,"A","13/08/2009","2009","V",69.1,19.78,NA,1007.02269435116,47.035
"BB 2 V 2009","BB",2,"B","13/08/2009","2009","V",74.74,10.17,NA,1007.02269435116,47.035
"BB 2 V 2009","BB",2,"C","13/08/2009","2009","V",68.1,29.69,NA,1007.02269435116,47.035
"BB 2 V 2009","BB",2,"D","13/08/2009","2009","V",66.17,27.42,NA,1007.02269435116,47.035
"BB 2 V 2010","BB",2,"A","22/07/2010","2010","V",2003,708,92,704.911674632341,47.035
"BB 2 V 2010","BB",2,"B","22/07/2010","2010","V",1972,371,92,704.911674632341,47.035
"BB 2 V 2010","BB",2,"C","22/07/2010","2010","V",2005,947,92,704.911674632341,47.035
"BB 2 V 2010","BB",2,"D","22/07/2010","2010","V",1921,1988,92,704.911674632341,47.035
"BB 3 V 2009","BB",3,"A","13/08/2009","2009","V",37.2,21.98,NA,1007.02269435116,24.2675
"BB 3 V 2009","BB",3,"B","13/08/2009","2009","V",38.53,13.65,NA,1007.02269435116,24.2675
"BB 3 V 2009","BB",3,"C","13/08/2009","2009","V",39.72,10.79,NA,1007.02269435116,24.2675
"BB 3 V 2009","BB",3,"D","13/08/2009","2009","V",33.83,26.52,NA,1007.02269435116,24.2675
"BB 3 V 2010","BB",3,"A","22/07/2010","2010","V",270,79,95,704.911674632341,24.2675
"BB 3 V 2010","BB",3,"B","22/07/2010","2010","V",256,21,95,704.911674632341,24.2675
"BB 3 V 2010","BB",3,"C","22/07/2010","2010","V",201,27.9,95,704.911674632341,24.2675
"BB 3 V 2010","BB",3,"D","22/07/2010","2010","V",193,21,95,704.911674632341,24.2675
"BB 4 V 2009","BB",4,"A","13/08/2009","2009","V",27.94,8.6,NA,1007.02269435116,16.3275
"BB 4 V 2009","BB",4,"B","13/08/2009","2009","V",25.02,15.51,NA,1007.02269435116,16.3275
"BB 4 V 2009","BB",4,"C","13/08/2009","2009","V",22.72,13.05,NA,1007.02269435116,16.3275
"BB 4 V 2009","BB",4,"D","13/08/2009","2009","V",24.43,6.86,NA,1007.02269435116,16.3275
"BB 4 V 2010","BB",4,"A","22/07/2010","2010","V",31.7,17.3,80,704.911674632341,16.3275
"BB 4 V 2010","BB",4,"B","22/07/2010","2010","V",28.9,17.6,80,704.911674632341,16.3275
"BB 4 V 2010","BB",4,"C","22/07/2010","2010","V",27.1,13,80,704.911674632341,16.3275
"BB 4 V 2010","BB",4,"D","22/07/2010","2010","V",29.1,12.3,80,704.911674632341,16.3275
"BB 5 V 2009","BB",5,"A","13/08/2009","2009","V",8.5,5.1,NA,1007.02269435116,15.175
"BB 5 V 2009","BB",5,"B","13/08/2009","2009","V",5.71,3.44,NA,1007.02269435116,15.175
"BB 5 V 2009","BB",5,"C","13/08/2009","2009","V",5.85,3.17,NA,1007.02269435116,15.175
"BB 5 V 2009","BB",5,"D","13/08/2009","2009","V",8.58,5.55,NA,1007.02269435116,15.175
"BB 5 V 2010","BB",5,"A","22/07/2010","2010","V",12.6,6.7,60,704.911674632341,15.175
"BB 5 V 2010","BB",5,"B","22/07/2010","2010","V",9.4,5.3,60,704.911674632341,15.175
"BB 5 V 2010","BB",5,"C","22/07/2010","2010","V",13.6,5.8,60,704.911674632341,15.175
"BB 5 V 2010","BB",5,"D","22/07/2010","2010","V",11.4,4.6,60,704.911674632341,15.175
"BB 6 V 2009","BB",6,"A","13/08/2009","2009","V",1513,119.3,NA,1007.02269435116,63.24
"BB 6 V 2009","BB",6,"B","13/08/2009","2009","V",1612.26,195.42,NA,1007.02269435116,63.24
"BB 6 V 2009","BB",6,"C","13/08/2009","2009","V",1631.1,88.67,NA,1007.02269435116,63.24
"BB 6 V 2009","BB",6,"D","13/08/2009","2009","V",1566.4,45.73,NA,1007.02269435116,63.24
"BB 6 V 2010","BB",6,"A","22/07/2010","2010","V",1469,650,75,704.911674632341,63.24
"BB 6 V 2010","BB",6,"B","22/07/2010","2010","V",1649,560,75,704.911674632341,63.24
"BB 6 V 2010","BB",6,"C","22/07/2010","2010","V",1582,570,75,704.911674632341,63.24
"BB 6 V 2010","BB",6,"D","22/07/2010","2010","V",1646,106,75,704.911674632341,63.24
"GB 1 V 2010","GB",1,"A","12/08/2010","2010","V",155.6,118,55,1350.4115625,65.945
"GB 1 V 2010","GB",1,"B","12/08/2010","2010","V",158.5,139.8,55,1350.4115625,65.945
"GB 1 V 2010","GB",1,"C","12/08/2010","2010","V",150.4,129.3,55,1350.4115625,65.945
"GB 1 V 2010","GB",1,"D","12/08/2010","2010","V",143.3,127.8,55,1350.4115625,65.945
"GB 2 V 2010","GB",2,"A","12/08/2010","2010","V",122.6,96,90,1350.4115625,56.93
"GB 2 V 2010","GB",2,"B","12/08/2010","2010","V",139.5,82.4,90,1350.4115625,56.93
"GB 2 V 2010","GB",2,"C","12/08/2010","2010","V",140.3,69.6,90,1350.4115625,56.93
"GB 2 V 2010","GB",2,"D","12/08/2010","2010","V",126.1,73.2,90,1350.4115625,56.93
"GB 3 V 2010","GB",3,"A","12/08/2010","2010","V",82.9,56.6,40,1350.4115625,37.6925
"GB 3 V 2010","GB",3,"B","12/08/2010","2010","V",69.5,62.7,40,1350.4115625,37.6925
"GB 3 V 2010","GB",3,"C","12/08/2010","2010","V",71.7,65.5,40,1350.4115625,37.6925
"GB 3 V 2010","GB",3,"D","12/08/2010","2010","V",225,75.3,40,1350.4115625,37.6925
"GB 4 V 2010","GB",4,"A","12/08/2010","2010","V",32,29.8,1,1350.4115625,29.1075
"GB 4 V 2010","GB",4,"B","12/08/2010","2010","V",30.6,28.7,1,1350.4115625,29.1075
"GB 4 V 2010","GB",4,"C","12/08/2010","2010","V",29.9,29.3,1,1350.4115625,29.1075
"GB 4 V 2010","GB",4,"D","12/08/2010","2010","V",30,26.9,1,1350.4115625,29.1075
"GB 5 V 2010","GB",5,"A","12/08/2010","2010","V",168.1,37.7,70,1350.4115625,46.705
"GB 5 V 2010","GB",5,"B","12/08/2010","2010","V",162.4,56.3,70,1350.4115625,46.705
"GB 5 V 2010","GB",5,"C","12/08/2010","2010","V",175.1,76.3,70,1350.4115625,46.705
"GB 5 V 2010","GB",5,"D","12/08/2010","2010","V",175.6,65.9,70,1350.4115625,46.705
"GB 6 V 2010","GB",6,"A","12/08/2010","2010","V",48.6,48.6,1,1350.4115625,16.115
"GB 6 V 2010","GB",6,"B","12/08/2010","2010","V",27.8,27.6,1,1350.4115625,16.115
"GB 6 V 2010","GB",6,"C","12/08/2010","2010","V",28.9,28.6,1,1350.4115625,16.115
"GB 6 V 2010","GB",6,"D","12/08/2010","2010","V",40.6,33.9,1,1350.4115625,16.115
"GH 1 V 2010","GH",1,"A","12/08/2010","2010","V",2219,756,100,648.684854166667,85.82
"GH 1 V 2010","GH",1,"B","12/08/2010","2010","V",850,741,100,648.684854166667,85.82
"GH 1 V 2010","GH",1,"C","12/08/2010","2010","V",850,490,100,648.684854166667,85.82
"GH 1 V 2010","GH",1,"D","12/08/2010","2010","V",792,497,100,648.684854166667,85.82
"GH 2 V 2010","GH",2,"A","12/08/2010","2010","V",2030,1593,95,648.684854166667,72.3675
"GH 2 V 2010","GH",2,"B","12/08/2010","2010","V",754,422,95,648.684854166667,72.3675
"GH 2 V 2010","GH",2,"C","12/08/2010","2010","V",1165,346,95,648.684854166667,72.3675
"GH 2 V 2010","GH",2,"D","12/08/2010","2010","V",1349,1040,95,648.684854166667,72.3675
"GH 3 V 2010","GH",3,"A","12/08/2010","2010","V",101.7,66.6,50,648.684854166667,36.4275
"GH 3 V 2010","GH",3,"B","12/08/2010","2010","V",98.2,85,50,648.684854166667,36.4275
