site,block,id.plot,species,seedlings_survival,transmitted_light,ground_vegetation_treatment,dds,year
Vz,1,Vz1NV,Abies.alba,0,10.685,NV,2099.118069,2008
Vz,1,Vz1NV,Abies.alba,0,10.685,NV,2099.118069,2008
Vz,1,Vz1V,Abies.alba,0,11.185,V,2099.118069,2008
Vz,1,Vz1V,Abies.alba,0,11.185,V,2099.118069,2008
Vz,1,Vz1V,Abies.alba,0,11.185,V,2099.118069,2008
Vz,1,Vz1V,Abies.alba,0,11.185,V,2099.118069,2008
Vz,1,Vz1V,Abies.alba,0,11.185,V,2099.118069,2008
Vz,1,Vz1V,Abies.alba,0,11.185,V,2099.118069,2008
Vz,1,Vz1V,Abies.alba,0,11.185,V,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,0,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,1,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,0,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,0,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,1,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,0,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,1,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,1,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,0,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,1,11.635,NV,2099.118069,2008
Vz,2,Vz2NV,Abies.alba,0,11.635,NV,2099.118069,2008
Vz,2,Vz2V,Abies.alba,0,13.4625,V,2099.118069,2008
Vz,2,Vz2V,Abies.alba,0,13.4625,V,2099.118069,2008
Vz,2,Vz2V,Abies.alba,0,13.4625,V,2099.118069,2008
Vz,2,Vz2V,Abies.alba,0,13.4625,V,2099.118069,2008
Vz,2,Vz2V,Abies.alba,0,13.4625,V,2099.118069,2008
Vz,2,Vz2V,Abies.alba,0,13.4625,V,2099.118069,2008
Vz,2,Vz2V,Abies.alba,0,13.4625,V,2099.118069,2008
Vz,2,Vz2V,Abies.alba,0,13.4625,V,2099.118069,2008
Vz,2,Vz2V,Abies.alba,0,13.4625,V,2099.118069,2008
Vz,3,Vz3NV,Pinus.uncinata,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Fagus.sylvatica,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Pinus.uncinata,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Abies.alba,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Abies.alba,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Pinus.uncinata,0,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Pinus.uncinata,0,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Abies.alba,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Pinus.uncinata,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Fagus.sylvatica,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Abies.alba,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Fagus.sylvatica,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Pinus.uncinata,0,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Pinus.uncinata,0,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Fagus.sylvatica,0,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Abies.alba,1,18.645,NV,2099.118069,2008
Vz,3,Vz3NV,Fagus.sylvatica,1,18.645,NV,2099.118069,2008
Vz,3,Vz3V,Fagus.sylvatica,0,20.175,V,2099.118069,2008
Vz,3,Vz3V,Pinus.uncinata,0,20.175,V,2099.118069,2008
Vz,3,Vz3V,Quercus.petraea,1,20.175,V,2099.118069,2008
Vz,3,Vz3V,Fagus.sylvatica,1,20.175,V,2099.118069,2008
Vz,3,Vz3V,Abies.alba,0,20.175,V,2099.118069,2008
Vz,3,Vz3V,Abies.alba,1,20.175,V,2099.118069,2008
Vz,3,Vz3V,Quercus.petraea,1,20.175,V,2099.118069,2008
Vz,3,Vz3V,Quercus.petraea,0,20.175,V,2099.118069,2008
Vz,3,Vz3V,Quercus.petraea,1,20.175,V,2099.118069,2008
Vz,3,Vz3V,Quercus.petraea,1,20.175,V,2099.118069,2008
Vz,3,Vz3V,Quercus.petraea,1,20.175,V,2099.118069,2008
Vz,3,Vz3V,Quercus.petraea,0,20.175,V,2099.118069,2008
Vz,3,Vz3V,Quercus.petraea,1,20.175,V,2099.118069,2008
Vz,3,Vz3V,Quercus.petraea,1,20.175,V,2099.118069,2008
Vz,4,Vz4NV,Fagus.sylvatica,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Pinus.uncinata,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Abies.alba,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Pinus.uncinata,0,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Abies.alba,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Abies.alba,0,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Fagus.sylvatica,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Abies.alba,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,0,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Pinus.uncinata,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Abies.alba,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,0,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Abies.alba,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Pinus.uncinata,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,0,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Abies.alba,0,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Fagus.sylvatica,1,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,0,19.25,NV,2099.118069,2008
Vz,4,Vz4NV,Quercus.petraea,0,19.25,NV,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Abies.alba,0,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Pinus.uncinata,0,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Pinus.uncinata,0,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Pinus.uncinata,0,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Abies.alba,0,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,1,16.4725,V,2099.118069,2008
Vz,4,Vz4V,Quercus.petraea,0,16.4725,V,2099.118069,2008
Vz,5,Vz5NV,Quercus.petraea,0,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Abies.alba,1,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Fagus.sylvatica,1,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Fagus.sylvatica,1,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Abies.alba,1,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Fagus.sylvatica,1,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Quercus.petraea,0,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Abies.alba,0,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Abies.alba,0,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Abies.alba,1,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Fagus.sylvatica,1,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Fagus.sylvatica,1,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Fagus.sylvatica,0,20.4575,NV,2099.118069,2008
Vz,5,Vz5NV,Fagus.sylvatica,1,20.4575,NV,2099.118069,2008
Vz,5,Vz5V,Quercus.petraea,1,16.02,V,2099.118069,2008
Vz,5,Vz5V,Quercus.petraea,0,16.02,V,2099.118069,2008
Vz,5,Vz5V,Fagus.sylvatica,1,16.02,V,2099.118069,2008
Vz,5,Vz5V,Quercus.petraea,1,16.02,V,2099.118069,2008
Vz,5,Vz5V,Fagus.sylvatica,1,16.02,V,2099.118069,2008
