var,units,description
site,NA,short name of the site
block,NA,block id
id.plot,NA,"plot id (site, block, ground_vegetation_treatment)"
species,NA,species Latin name
height_growth,cm,height at date 2 - height at date 1
transmitted_light,%,percentage of transmitted light estimated with hemispherical photograph on each block
ground_vegetation_treatment,NA,ground vegetation removed NV or not V
dds,degree C,degree days sum above 5.56C estimated on each block and each year
year,year,year of measurement
time_interval,days,date 2 - date 1
